x,y,z
-0.08,0.7,-0.148
-0.065,0.7,-0.148
-0.05,0.7,-0.148
-0.035,0.7,-0.148
-0.020000000000000004,0.7,-0.148
-0.0050000000000000044,0.7,-0.148
0.009999999999999995,0.7,-0.148
0.024999999999999994,0.7,-0.148
-0.08,0.716,-0.148
-0.065,0.716,-0.148
-0.05,0.716,-0.148
-0.035,0.716,-0.148
-0.020000000000000004,0.716,-0.148
-0.0050000000000000044,0.716,-0.148
0.009999999999999995,0.716,-0.148
0.024999999999999994,0.716,-0.148
-0.08,0.732,-0.148
-0.065,0.732,-0.148
-0.05,0.732,-0.148
-0.035,0.732,-0.148
-0.020000000000000004,0.732,-0.148
-0.0050000000000000044,0.732,-0.148
0.009999999999999995,0.732,-0.148
0.024999999999999994,0.732,-0.148
-0.08,0.748,-0.148
-0.065,0.748,-0.148
-0.05,0.748,-0.148
-0.035,0.748,-0.148
-0.020000000000000004,0.748,-0.148
-0.0050000000000000044,0.748,-0.148
0.009999999999999995,0.748,-0.148
0.024999999999999994,0.748,-0.148
-0.08,0.764,-0.148
-0.065,0.764,-0.148
-0.05,0.764,-0.148
-0.035,0.764,-0.148
-0.020000000000000004,0.764,-0.148
-0.0050000000000000044,0.764,-0.148
0.009999999999999995,0.764,-0.148
0.024999999999999994,0.764,-0.148
-0.08,0.7799999999999999,-0.148
-0.065,0.7799999999999999,-0.148
-0.05,0.7799999999999999,-0.148
-0.035,0.7799999999999999,-0.148
-0.020000000000000004,0.7799999999999999,-0.148
-0.0050000000000000044,0.7799999999999999,-0.148
0.009999999999999995,0.7799999999999999,-0.148
0.024999999999999994,0.7799999999999999,-0.148
-0.08,0.7959999999999999,-0.148
-0.065,0.7959999999999999,-0.148
-0.05,0.7959999999999999,-0.148
-0.035,0.7959999999999999,-0.148
-0.020000000000000004,0.7959999999999999,-0.148
-0.0050000000000000044,0.7959999999999999,-0.148
0.009999999999999995,0.7959999999999999,-0.148
0.024999999999999994,0.7959999999999999,-0.148
-0.08,0.8119999999999999,-0.148
-0.065,0.8119999999999999,-0.148
-0.05,0.8119999999999999,-0.148
-0.035,0.8119999999999999,-0.148
-0.020000000000000004,0.8119999999999999,-0.148
-0.0050000000000000044,0.8119999999999999,-0.148
0.009999999999999995,0.8119999999999999,-0.148
0.024999999999999994,0.8119999999999999,-0.148
