x,y,z,cos_alpha,cos_beta
-0.08750000000000002,0.6960000000000002,-0.123,1.0,1.0
-0.08750000000000002,0.6960000000000002,-0.118,1.0,1.0
-0.08750000000000002,0.6960000000000002,-0.113,1.0,1.0
-0.08750000000000002,0.6960000000000002,-0.108,1.0,1.0
-0.08750000000000002,0.6960000000000002,-0.103,1.0,1.0
-0.08750000000000002,0.6960000000000002,-0.098,1.0,1.0
-0.08750000000000002,0.6960000000000002,-0.093,1.0,1.0
-0.08750000000000002,0.6960000000000002,-0.088,1.0,1.0
-0.08750000000000002,0.6960000000000002,-0.08299999999999999,1.0,1.0
-0.08750000000000002,0.6960000000000002,-0.078,1.0,1.0
-0.08750000000000002,0.6960000000000002,-0.073,1.0,1.0
-0.08750000000000002,0.6960000000000002,-0.068,1.0,1.0
-0.08750000000000002,0.6960000000000002,-0.063,1.0,1.0
-0.08750000000000002,0.6960000000000002,-0.057999999999999996,1.0,1.0
-0.08750000000000002,0.6960000000000002,-0.05299999999999999,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.123,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.118,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.113,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.108,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.103,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.098,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.093,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.088,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.08299999999999999,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.078,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.073,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.068,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.063,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.057999999999999996,1.0,1.0
-0.08750000000000002,0.7023157894736843,-0.05299999999999999,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.123,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.118,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.113,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.108,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.103,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.098,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.093,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.088,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.08299999999999999,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.078,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.073,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.068,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.063,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.057999999999999996,1.0,1.0
-0.08750000000000002,0.7086315789473686,-0.05299999999999999,1.0,1.0
-0.08750000000000002,0.7149473684210528,-0.123,1.0,1.0
-0.08750000000000002,0.7149473684210528,-0.118,1.0,1.0
-0.08750000000000002,0.7149473684210528,-0.113,1.0,1.0
-0.08750000000000002,0.7149473684210528,-0.108,1.0,1.0
-0.08750000000000002,0.7149473684210528,-0.103,1.0,1.0
-0.08750000000000002,0.7149473684210528,-0.098,1.0,1.0
