x,y,z,cos_alpha,cos_beta
-1.647508942050615,-1.6475089420506246,-1.6201851745270255,1.0,1.0
-1.647508942050615,-1.6475089420506246,-1.388730149594598,1.0,1.0
-1.647508942050615,-1.6475089420506246,-1.157275124662171,1.0,1.0
-1.647508942050615,-1.6475089420506246,-0.9258200997297436,1.0,1.0
-1.647508942050615,-1.6475089420506246,-0.694365074797316,1.0,1.0
-1.647508942050615,-1.6475089420506246,-0.4629100498648891,1.0,1.0
-1.647508942050615,-1.6475089420506246,-0.2314550249324616,1.0,1.0
-1.647508942050615,-1.6475089420506246,-3.404808746448509e-14,1.0,1.0
-1.647508942050615,-1.6475089420506246,0.23145502493239348,1.0,1.0
-1.647508942050615,-1.6475089420506246,0.46291004986482037,1.0,1.0
-1.647508942050615,-1.6475089420506246,0.694365074797248,1.0,1.0
-1.647508942050615,-1.6475089420506246,0.9258200997296748,1.0,1.0
-1.647508942050615,-1.6475089420506246,1.1572751246621023,1.0,1.0
-1.647508942050615,-1.6475089420506246,1.38873014959453,1.0,1.0
-1.647508942050615,-1.6475089420506246,1.6201851745269573,1.0,1.0
-1.647508942050615,-1.4740869481505605,-1.6201851745270255,1.0,1.0
-1.647508942050615,-1.4740869481505605,-1.388730149594598,1.0,1.0
-1.647508942050615,-1.4740869481505605,-1.157275124662171,1.0,1.0
-1.647508942050615,-1.4740869481505605,-0.9258200997297436,1.0,1.0
-1.647508942050615,-1.4740869481505605,-0.694365074797316,1.0,1.0
-1.647508942050615,-1.4740869481505605,-0.4629100498648891,1.0,1.0
-1.647508942050615,-1.4740869481505605,-0.2314550249324616,1.0,1.0
-1.647508942050615,-1.4740869481505605,-3.404808746448509e-14,1.0,1.0
-1.647508942050615,-1.4740869481505605,0.23145502493239348,1.0,1.0
-1.647508942050615,-1.4740869481505605,0.46291004986482037,1.0,1.0
-1.647508942050615,-1.4740869481505605,0.694365074797248,1.0,1.0
-1.647508942050615,-1.4740869481505605,0.9258200997296748,1.0,1.0
-1.647508942050615,-1.4740869481505605,1.1572751246621023,1.0,1.0
-1.647508942050615,-1.4740869481505605,1.38873014959453,1.0,1.0
-1.647508942050615,-1.4740869481505605,1.6201851745269573,1.0,1.0
-1.647508942050615,-1.3006649542504936,-1.6201851745270255,1.0,1.0
-1.647508942050615,-1.3006649542504936,-1.388730149594598,1.0,1.0
-1.647508942050615,-1.3006649542504936,-1.157275124662171,1.0,1.0
-1.647508942050615,-1.3006649542504936,-0.9258200997297436,1.0,1.0
-1.647508942050615,-1.3006649542504936,-0.694365074797316,1.0,1.0
-1.647508942050615,-1.3006649542504936,-0.4629100498648891,1.0,1.0
-1.647508942050615,-1.3006649542504936,-0.2314550249324616,1.0,1.0
-1.647508942050615,-1.3006649542504936,-3.404808746448509e-14,1.0,1.0
-1.647508942050615,-1.3006649542504936,0.23145502493239348,1.0,1.0
-1.647508942050615,-1.3006649542504936,0.46291004986482037,1.0,1.0
-1.647508942050615,-1.3006649542504936,0.694365074797248,1.0,1.0
-1.647508942050615,-1.3006649542504936,0.9258200997296748,1.0,1.0
-1.647508942050615,-1.3006649542504936,1.1572751246621023,1.0,1.0
-1.647508942050615,-1.3006649542504936,1.38873014959453,1.0,1.0
-1.647508942050615,-1.3006649542504936,1.6201851745269573,1.0,1.0
-1.647508942050615,-1.1272429603504295,-1.6201851745270255,1.0,1.0
-1.647508942050615,-1.1272429603504295,-1.388730149594598,1.0,1.0
-1.647508942050615,-1.1272429603504295,-1.157275124662171,1.0,1.0
-1.647508942050615,-1.1272429603504295,-0.9258200997297436,1.0,1.0
-1.647508942050615,-1.1272429603504295,-0.694365074797316,1.0,1.0
-1.647508942050615,-1.1272429603504295,-0.4629100498648891,1.0,1.0
-1.647508942050615,-1.1272429603504295,-0.2314550249324616,1.0,1.0
-1.647508942050615,-1.1272429603504295,-3.404808746448509e-14,1.0,1.0
-1.647508942050615,-1.1272429603504295,0.23145502493239348,1.0,1.0
-1.647508942050615,-1.1272429603504295,0.46291004986482037,1.0,1.0
-1.647508942050615,-1.1272429603504295,0.694365074797248,1.0,1.0
-1.647508942050615,-1.1272429603504295,0.9258200997296748,1.0,1.0
-1.647508942050615,-1.1272429603504295,1.1572751246621023,1.0,1.0
-1.647508942050615,-1.1272429603504295,1.38873014959453,1.0,1.0
-1.647508942050615,-1.1272429603504295,1.6201851745269573,1.0,1.0
-1.647508942050615,-0.9538209664503655,-1.6201851745270255,1.0,1.0
-1.647508942050615,-0.9538209664503655,-1.388730149594598,1.0,1.0
-1.647508942050615,-0.9538209664503655,-1.157275124662171,1.0,1.0
-1.647508942050615,-0.9538209664503655,-0.9258200997297436,1.0,1.0
-1.647508942050615,-0.9538209664503655,-0.694365074797316,1.0,1.0
-1.647508942050615,-0.9538209664503655,-0.4629100498648891,1.0,1.0
-1.647508942050615,-0.9538209664503655,-0.2314550249324616,1.0,1.0
-1.647508942050615,-0.9538209664503655,-3.404808746448509e-14,1.0,1.0
-1.647508942050615,-0.9538209664503655,0.23145502493239348,1.0,1.0
-1.647508942050615,-0.9538209664503655,0.46291004986482037,1.0,1.0
-1.647508942050615,-0.9538209664503655,0.694365074797248,1.0,1.0
-1.647508942050615,-0.9538209664503655,0.9258200997296748,1.0,1.0
-1.647508942050615,-0.9538209664503655,1.1572751246621023,1.0,1.0
-1.647508942050615,-0.9538209664503655,1.38873014959453,1.0,1.0
-1.647508942050615,-0.9538209664503655,1.6201851745269573,1.0,1.0
-1.647508942050615,-0.7803989725502986,-1.6201851745270255,1.0,1.0
-1.647508942050615,-0.7803989725502986,-1.388730149594598,1.0,1.0
-1.647508942050615,-0.7803989725502986,-1.157275124662171,1.0,1.0
-1.647508942050615,-0.7803989725502986,-0.9258200997297436,1.0,1.0
-1.647508942050615,-0.7803989725502986,-0.694365074797316,1.0,1.0
-1.647508942050615,-0.7803989725502986,-0.4629100498648891,1.0,1.0
-1.647508942050615,-0.7803989725502986,-0.2314550249324616,1.0,1.0
-1.647508942050615,-0.7803989725502986,-3.404808746448509e-14,1.0,1.0
-1.647508942050615,-0.7803989725502986,0.23145502493239348,1.0,1.0
-1.647508942050615,-0.7803989725502986,0.46291004986482037,1.0,1.0
-1.647508942050615,-0.7803989725502986,0.694365074797248,1.0,1.0
-1.647508942050615,-0.7803989725502986,0.9258200997296748,1.0,1.0
-1.647508942050615,-0.7803989725502986,1.1572751246621023,1.0,1.0
-1.647508942050615,-0.7803989725502986,1.38873014959453,1.0,1.0
-1.647508942050615,-0.7803989725502986,1.6201851745269573,1.0,1.0
-1.647508942050615,-0.6069769786502346,-1.6201851745270255,1.0,1.0
-1.647508942050615,-0.6069769786502346,-1.388730149594598,1.0,1.0
-1.647508942050615,-0.6069769786502346,-1.157275124662171,1.0,1.0
-1.647508942050615,-0.6069769786502346,-0.9258200997297436,1.0,1.0
-1.647508942050615,-0.6069769786502346,-0.694365074797316,1.0,1.0
-1.647508942050615,-0.6069769786502346,-0.4629100498648891,1.0,1.0
