x,y,z
-0.08,0.7,-0.123
-0.065,0.7,-0.123
-0.05,0.7,-0.123
-0.035,0.7,-0.123
-0.02,0.7,-0.123
-0.005,0.7,-0.123
0.0099999999999999,0.7,-0.123
0.0249999999999999,0.7,-0.123
-0.08,0.716,-0.123
-0.065,0.716,-0.123
-0.05,0.716,-0.123
-0.035,0.716,-0.123
-0.02,0.716,-0.123
-0.005,0.716,-0.123
0.0099999999999999,0.716,-0.123
0.0249999999999999,0.716,-0.123
-0.08,0.732,-0.123
-0.065,0.732,-0.123
-0.05,0.732,-0.123
-0.035,0.732,-0.123
-0.02,0.732,-0.123
-0.005,0.732,-0.123
0.0099999999999999,0.732,-0.123
0.0249999999999999,0.732,-0.123
-0.08,0.748,-0.123
-0.065,0.748,-0.123
-0.05,0.748,-0.123
-0.035,0.748,-0.123
-0.02,0.748,-0.123
-0.005,0.748,-0.123
0.0099999999999999,0.748,-0.123
0.0249999999999999,0.748,-0.123
-0.08,0.764,-0.123
-0.065,0.764,-0.123
-0.05,0.764,-0.123
-0.035,0.764,-0.123
-0.02,0.764,-0.123
-0.005,0.764,-0.123
0.0099999999999999,0.764,-0.123
0.0249999999999999,0.764,-0.123
-0.08,0.7799999999999999,-0.123
-0.065,0.7799999999999999,-0.123
-0.05,0.7799999999999999,-0.123
-0.035,0.7799999999999999,-0.123
-0.02,0.7799999999999999,-0.123
-0.005,0.7799999999999999,-0.123
0.0099999999999999,0.7799999999999999,-0.123
0.0249999999999999,0.7799999999999999,-0.123
-0.08,0.7959999999999999,-0.123
-0.065,0.7959999999999999,-0.123
-0.05,0.7959999999999999,-0.123
-0.035,0.7959999999999999,-0.123
-0.02,0.7959999999999999,-0.123
-0.005,0.7959999999999999,-0.123
0.0099999999999999,0.7959999999999999,-0.123
0.0249999999999999,0.7959999999999999,-0.123
-0.08,0.8119999999999999,-0.123
-0.065,0.8119999999999999,-0.123
-0.05,0.8119999999999999,-0.123
-0.035,0.8119999999999999,-0.123
-0.02,0.8119999999999999,-0.123
-0.005,0.8119999999999999,-0.123
0.0099999999999999,0.8119999999999999,-0.123
0.0249999999999999,0.8119999999999999,-0.123
